ticker,Company,Current Price,5Y CAGR (%),Forward P/E,Trailing P/E,Market Cap
CDNS,"Cadence Design Systems, Inc.",$253.31,29.81,36.97956,65.62435,69434294272
RXRX,"Recursion Pharmaceuticals, Inc.",$8.21,-29.33,-4.748555,N/A,3209781248
PETS.L,PETS AT HOME GROUP PLC ORD 1P,£248.20,-2.48,0.12348258,13.063157,1126644352
BGEO.L,BANK OF GEORGIA GROUP PLC ORD 1,£5590.00,27.4,1.3802469,3.5787454,2398054144
META,"Meta Platforms, Inc.",$671.20,27.91,26.529646,28.118977,1700592615424
AMZN,"Amazon.com, Inc.",$213.36,16.63,34.692684,38.582275,2261125169152
AVGO,Broadcom Inc.,$209.59,53.33,33.969204,161.22308,982423764992
IBM,International Business Machines,$254.55,19.12,23.991518,39.649532,235368382464
